0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.6230529595015587e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.482866043613709e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.9221183800623066e-09,2.872274143302182e-09,2.8099688473520253e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09,2.398753894080998e-09,2.398753894080998e-09,2.3738317757009355e-09,2.323987538940812e-09,2.286604361370718e-09
2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.6230529595015587e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.482866043613709e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.9221183800623066e-09,2.872274143302182e-09,2.8099688473520253e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09,2.398753894080998e-09,2.398753894080998e-09,2.3738317757009355e-09,2.323987538940812e-09
1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.482866043613709e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09,2.398753894080998e-09,2.398753894080998e-09,2.3738317757009355e-09
1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09,2.398753894080998e-09,2.398753894080998e-09
1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09,2.398753894080998e-09
1.6386292834890981e-09,1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.8348909657320887e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.4984423676012473e-09,2.4984423676012473e-09,2.4485981308411225e-09
1.8380062305295965e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.7102803738317774e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.6323987538940818e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.5732087227414343e-09,2.4984423676012473e-09
2.09968847352025e-09,1.8380062305295965e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.7102803738317774e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.844236760124613e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.707165109034269e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09,2.5732087227414343e-09
2.323987538940812e-09,2.09968847352025e-09,1.8380062305295965e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.7102803738317774e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.9190031152648e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.707165109034269e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09,2.5732087227414343e-09
2.6230529595015587e-09,2.323987538940812e-09,2.09968847352025e-09,1.8380062305295965e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.5389408099688477e-09,1.6137071651090357e-09,2.336448598130843e-09,2.112149532710282e-09,2.336448598130843e-09,1.6137071651090357e-09,1.5389408099688477e-09,1.6386292834890981e-09,1.6386292834890981e-09,1.8380062305295965e-09,2.09968847352025e-09,2.323987538940812e-09,2.4112149532710286e-09,2.7102803738317774e-09,3.0342679127725875e-09,3.295950155763241e-09,3.4080996884735212e-09,3.5700934579439265e-09,3.781931464174456e-09,3.8691588785046745e-09,3.93146417445483e-09,3.93146417445483e-09,3.9190031152648e-09,3.9190031152648e-09,3.844236760124613e-09,3.781931464174456e-09,3.707165109034269e-09,3.707165109034269e-09,3.6323987538940818e-09,3.5700934579439265e-09,3.482866043613709e-09,3.4205607476635525e-09,3.4205607476635525e-09,3.3582554517133972e-09,3.295950155763241e-09,3.295950155763241e-09,3.2087227414330224e-09,3.1339563862928367e-09,3.1339563862928367e-09,3.0591900311526493e-09,3.0591900311526493e-09,2.9968847352024936e-09,2.9968847352024936e-09,2.9221183800623066e-09,2.872274143302182e-09,2.872274143302182e-09,2.8099688473520253e-09,2.722741433021808e-09,2.6604361370716526e-09,2.6604361370716526e-09,2.6355140186915904e-09
